=== SIGNAL-ONLY TRACE: ACCUMULATION ===

============================================================================================================================================
 ACCOUNT: Islam
============================================================================================================================================
Gap #001 | CurLen: 146 | Prev1:  82 | Prev2:   0 | Bets: 53 | Result: LATE HIT
    T+70 | SEQ: 78318 | POS:136 | [V5_STEAL_M  ] | [accumula|accumula|coin    ]
    T+71 | SEQ: 78319 | POS:137 | [V5_STEAL_M  ] | [attack  |shield  |goldSack]
    T+72 | SEQ: 78320 | POS:138 | [V5_STEAL_M  ] | [attack  |spins   |goldSack]
    T+73 | SEQ: 78321 | POS:139 | [V5_STEAL_M  ] | [accumula|goldSack|goldSack]
    T+74 | SEQ: 78322 | POS:140 | [V5_STEAL_M  ] | [steal   |spins   |goldSack]
    T+75 | SEQ: 78323 | POS:141 | [V5_STEAL_M  ] | [accumula|goldSack|goldSack]
    T+76 | SEQ: 78324 | POS:142 | [V5_STEAL_M  ] | [attack  |spins   |goldSack]
    T+77 | SEQ: 78325 | POS:143 | [V5_STEAL_M  ] | [accumula|goldSack|goldSack]
    T+78 | SEQ: 78326 | POS:144 | [V5_STEAL_M  ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+79 | SEQ: 78327 | POS:145 | [V5_STEAL_M  ] | [coin    |coin    |coin    ]
    T+80 | SEQ: 78328 | POS:146 | [V5_STEAL_M  ] | [attack  |attack  |coin    ]
    T+81 | SEQ: 78329 | POS:147 | [V5_STEAL_M  ] | [attack  |attack  |coin    ] <--- *SUB-DUP*
    T+82 | SEQ: 78330 | POS:148 | [V5_STEAL_M  ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+83 | SEQ: 78331 | POS:149 | [V5_STEAL_M  ] | [coin    |spins   |spins   ]
    T+84 | SEQ: 78332 | POS:150 | [V5_STEAL_M  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #102 | CurLen: 102 | Prev1: 150 | Prev2:  77 | Bets: 41 | Result: LATE HIT
    T-04 | SEQ: 78389 | POS: 57 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-03 | SEQ: 78390 | POS: 58 | [   WAITING  ] | [attack  |steal   |goldSack]
    T-02 | SEQ: 78391 | POS: 59 | [   WAITING  ] | [attack  |steal   |goldSack]
    T-01 | SEQ: 78392 | POS: 60 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 78393 | POS: 61 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 78394 | POS: 62 | [   WAITING  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+02 | SEQ: 78395 | POS: 63 | [V5_EARLY_S  ] | [coin    |steal   |steal   ]
    T+03 | SEQ: 78396 | POS: 64 | [V5_EARLY_S  ] | [coin    |coin    |spins   ]
    T+04 | SEQ: 78397 | POS: 65 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T+05 | SEQ: 78398 | POS: 66 | [V5_EARLY_S  ] | [attack  |steal   |goldSack]
    T+06 | SEQ: 78399 | POS: 67 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+07 | SEQ: 78400 | POS: 68 | [V5_EARLY_S  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+08 | SEQ: 78401 | POS: 69 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T+09 | SEQ: 78402 | POS: 70 | [V5_EARLY_S  ] | [accumula|accumula|coin    ] <--- *SUB-DUP*
    T+10 | SEQ: 78403 | POS: 71 | [   WAITING  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+11 | SEQ: 78404 | POS: 72 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T+12 | SEQ: 78405 | POS: 73 | [V5_EARLY_S  ] | [coin    |coin    |spins   ]
    T+13 | SEQ: 78406 | POS: 74 | [V5_EARLY_S  ] | [coin    |steal   |spins   ]
    T+14 | SEQ: 78407 | POS: 75 | [V5_EARLY_S  ] | [attack  |steal   |goldSack]
    T+15 | SEQ: 78408 | POS: 76 | [V5_EARLY_S  ] | [coin    |spins   |spins   ]
    T+16 | SEQ: 78409 | POS: 77 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T+17 | SEQ: 78410 | POS: 78 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T+18 | SEQ: 78411 | POS: 79 | [V5_EARLY_S  ] | [coin    |coin    |spins   ]
    T+19 | SEQ: 78412 | POS: 80 | [V5_EARLY_S  ] | [coin    |shield  |shield  ]
    T+20 | SEQ: 78413 | POS: 81 | [V5_EARLY_S  ] | [attack  |attack  |goldSack]
    T+21 | SEQ: 78414 | POS: 82 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+22 | SEQ: 78415 | POS: 83 | [V5_EARLY_S  ] | [attack  |attack  |coin    ]
    T+23 | SEQ: 78416 | POS: 84 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T+24 | SEQ: 78417 | POS: 85 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T+25 | SEQ: 78418 | POS: 86 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+26 | SEQ: 78419 | POS: 87 | [V5_EARLY_S  ] | [coin    |coin    |spins   ]
    T+27 | SEQ: 78420 | POS: 88 | [V5_EARLY_S  ] | [coin    |steal   |steal   ]
    T+28 | SEQ: 78421 | POS: 89 | [V5_EARLY_S  ] | [coin    |coin    |spins   ]
    T+29 | SEQ: 78422 | POS: 90 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T+30 | SEQ: 78423 | POS: 91 | [V5_EARLY_S  ] | [attack  |spins   |goldSack]
    T+31 | SEQ: 78424 | POS: 92 | [V5_EARLY_S  ] | [coin    |coin    |spins   ]
    T+32 | SEQ: 78425 | POS: 93 | [V5_EARLY_S  ] | [attack  |spins   |goldSack]
    T+33 | SEQ: 78426 | POS: 94 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T+34 | SEQ: 78427 | POS: 95 | [V5_EARLY_S  ] | [coin    |spins   |spins   ]
    T+35 | SEQ: 78428 | POS: 96 | [V5_EARLY_S  ] | [attack  |steal   |goldSack]
    T+36 | SEQ: 78429 | POS: 97 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+37 | SEQ: 78430 | POS: 98 | [V5_EARLY_S  ] | [attack  |attack  |coin    ]
    T+38 | SEQ: 78431 | POS: 99 | [V5_EARLY_S  ] | [shield  |goldSack|goldSack]
    T+39 | SEQ: 78432 | POS:100 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+40 | SEQ: 78433 | POS:101 | [V5_EARLY_S  ] | [spins   |spins   |spins   ] <--- MINOR [SPINS]
    T+41 | SEQ: 78434 | POS:102 | [V5_EARLY_S  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #103 | CurLen:  83 | Prev1: 102 | Prev2: 150 | Bets: 24 | Result: MISSED (NAT DUP)
    T-11 | SEQ: 78491 | POS: 57 | [   WAITING  ] | [coin    |steal   |steal   ]
    T-10 | SEQ: 78492 | POS: 58 | [   WAITING  ] | [attack  |spins   |goldSack]
    T-09 | SEQ: 78493 | POS: 59 | [   WAITING  ] | [coin    |steal   |steal   ]
    T-08 | SEQ: 78494 | POS: 60 | [V5_EARLY_S  ] | [coin    |coin    |spins   ]
    T-07 | SEQ: 78495 | POS: 61 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T-06 | SEQ: 78496 | POS: 62 | [V5_EARLY_S  ] | [attack  |attack  |coin    ]
    T-05 | SEQ: 78497 | POS: 63 | [V5_EARLY_S  ] | [coin    |coin    |spins   ]
    T-04 | SEQ: 78498 | POS: 64 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T-03 | SEQ: 78499 | POS: 65 | [V5_EARLY_S  ] | [attack  |steal   |goldSack]
    T-02 | SEQ: 78500 | POS: 66 | [V5_EARLY_S  ] | [coin    |steal   |shield  ]
    T-01 | SEQ: 78501 | POS: 67 | [V5_EARLY_S  ] | [attack  |steal   |goldSack]
    T+00 | SEQ: 78502 | POS: 68 | [V5_EARLY_S  ] | [attack  |steal   |goldSack] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 78503 | POS: 69 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+02 | SEQ: 78504 | POS: 70 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T+03 | SEQ: 78505 | POS: 71 | [V5_EARLY_S  ] | [coin    |coin    |spins   ]
    T+04 | SEQ: 78506 | POS: 72 | [V5_EARLY_S  ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+05 | SEQ: 78507 | POS: 73 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T+06 | SEQ: 78508 | POS: 74 | [V5_EARLY_S  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+07 | SEQ: 78509 | POS: 75 | [V5_EARLY_S  ] | [coin    |steal   |shield  ]
    T+08 | SEQ: 78510 | POS: 76 | [V5_EARLY_S  ] | [attack  |steal   |goldSack]
    T+09 | SEQ: 78511 | POS: 77 | [V5_EARLY_S  ] | [spins   |spins   |spins   ] <--- MINOR [SPINS]
    T+10 | SEQ: 78512 | POS: 78 | [V5_EARLY_S  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+11 | SEQ: 78513 | POS: 79 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T+12 | SEQ: 78514 | POS: 80 | [V5_EARLY_S  ] | [coin    |coin    |coin    ] <--- *SUB-DUP*
    T+13 | SEQ: 78515 | POS: 81 | [V5_EARLY_S  ] | [coin    |steal   |steal   ]
    T+14 | SEQ: 78516 | POS: 82 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T+15 | SEQ: 78517 | POS: 83 | [V5_EARLY_S  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #104 | CurLen:  70 | Prev1:  83 | Prev2: 102 | Bets: 11 | Result: CLEAN CATCH
    T-04 | SEQ: 78574 | POS: 57 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-03 | SEQ: 78575 | POS: 58 | [   WAITING  ] | [attack  |attack  |coin    ]
    T-02 | SEQ: 78576 | POS: 59 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-01 | SEQ: 78577 | POS: 60 | [V5_EARLY_S  ] | [attack  |attack  |attack  ]
    T+00 | SEQ: 78578 | POS: 61 | [V5_EARLY_S  ] | [attack  |attack  |attack  ] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 78579 | POS: 62 | [V5_EARLY_S  ] | [steal   |spins   |goldSack]
    T+02 | SEQ: 78580 | POS: 63 | [V5_EARLY_S  ] | [coin    |coin    |steal   ]
    T+03 | SEQ: 78581 | POS: 64 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T+04 | SEQ: 78582 | POS: 65 | [V5_EARLY_S  ] | [coin    |coin    |steal   ]
    T+05 | SEQ: 78583 | POS: 66 | [V5_EARLY_S  ] | [shield  |goldSack|goldSack]
    T+06 | SEQ: 78584 | POS: 67 | [V5_EARLY_S  ] | [coin    |coin    |steal   ]
    T+07 | SEQ: 78585 | POS: 68 | [V5_EARLY_S  ] | [coin    |spins   |spins   ]
    T+08 | SEQ: 78586 | POS: 69 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T+09 | SEQ: 78587 | POS: 70 | [V5_EARLY_S  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #106 | CurLen:  69 | Prev1: 134 | Prev2:  70 | Bets: 10 | Result: CLEAN CATCH
    T-04 | SEQ: 78778 | POS: 57 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-03 | SEQ: 78779 | POS: 58 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-02 | SEQ: 78780 | POS: 59 | [   WAITING  ] | [steal   |spins   |goldSack]
    T-01 | SEQ: 78781 | POS: 60 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T+00 | SEQ: 78782 | POS: 61 | [V5_EARLY_S  ] | [accumula|accumula|coin    ] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 78783 | POS: 62 | [V5_EARLY_S  ] | [attack  |steal   |goldSack]
    T+02 | SEQ: 78784 | POS: 63 | [V5_EARLY_S  ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+03 | SEQ: 78785 | POS: 64 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+04 | SEQ: 78786 | POS: 65 | [V5_STEAL_S  ] | [coin    |coin    |steal   ]
    T+05 | SEQ: 78787 | POS: 66 | [V5_STEAL_S  ] | [attack  |spins   |goldSack]
    T+06 | SEQ: 78788 | POS: 67 | [V5_STEAL_S  ] | [steal   |spins   |goldSack]
    T+07 | SEQ: 78789 | POS: 68 | [V5_STEAL_S  ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+08 | SEQ: 78790 | POS: 69 | [V5_STEAL_S  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #107 | CurLen: 160 | Prev1:  69 | Prev2: 134 | Bets: 46 | Result: MISSED (NAT DUP)
    T-60 | SEQ: 78852 | POS: 62 | [   WAITING  ] | [steal   |spins   |goldSack]
    T-59 | SEQ: 78853 | POS: 63 | [   WAITING  ] | [coin    |coin    |steal   ]
    T-58 | SEQ: 78854 | POS: 64 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-57 | SEQ: 78855 | POS: 65 | [V5_STEAL_S  ] | [coin    |coin    |coin    ]
    T-56 | SEQ: 78856 | POS: 66 | [V5_STEAL_S  ] | [goldSack|goldSack|goldSack]
    T-55 | SEQ: 78857 | POS: 67 | [V5_STEAL_S  ] | [coin    |steal   |steal   ]
    T-54 | SEQ: 78858 | POS: 68 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-53 | SEQ: 78859 | POS: 69 | [   WAITING  ] | [coin    |coin    |steal   ]
    T-52 | SEQ: 78860 | POS: 70 | [   WAITING  ] | [coin    |spins   |spins   ]
    T-51 | SEQ: 78861 | POS: 71 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-50 | SEQ: 78862 | POS: 72 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-49 | SEQ: 78863 | POS: 73 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-48 | SEQ: 78864 | POS: 74 | [   WAITING  ] | [coin    |shield  |shield  ]
    T-47 | SEQ: 78865 | POS: 75 | [   WAITING  ] | [attack  |attack  |coin    ]
    T-46 | SEQ: 78866 | POS: 76 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-45 | SEQ: 78867 | POS: 77 | [   WAITING  ] | [attack  |coin    |shield  ]
    T-44 | SEQ: 78868 | POS: 78 | [   WAITING  ] | [attack  |attack  |goldSack]
    T-43 | SEQ: 78869 | POS: 79 | [   WAITING  ] | [coin    |coin    |steal   ]
    T-42 | SEQ: 78870 | POS: 80 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-41 | SEQ: 78871 | POS: 81 | [   WAITING  ] | [attack  |attack  |coin    ]
    T-40 | SEQ: 78872 | POS: 82 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-39 | SEQ: 78873 | POS: 83 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-38 | SEQ: 78874 | POS: 84 | [   WAITING  ] | [coin    |coin    |steal   ]
    T-37 | SEQ: 78875 | POS: 85 | [   WAITING  ] | [attack  |spins   |goldSack]
    T-36 | SEQ: 78876 | POS: 86 | [   WAITING  ] | [attack  |shield  |goldSack]
    T-35 | SEQ: 78877 | POS: 87 | [   WAITING  ] | [coin    |steal   |steal   ]
    T-34 | SEQ: 78878 | POS: 88 | [   WAITING  ] | [attack  |attack  |coin    ]
    T-33 | SEQ: 78879 | POS: 89 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-32 | SEQ: 78880 | POS: 90 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-31 | SEQ: 78881 | POS: 91 | [   WAITING  ] | [shield  |shield  |shield  ]
    T-30 | SEQ: 78882 | POS: 92 | [   WAITING  ] | [coin    |shield  |shield  ]
    T-29 | SEQ: 78883 | POS: 93 | [   WAITING  ] | [accumula|accumula|coin    ]
    T-28 | SEQ: 78884 | POS: 94 | [   WAITING  ] | [coin    |steal   |steal   ]
    T-27 | SEQ: 78885 | POS: 95 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-26 | SEQ: 78886 | POS: 96 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-25 | SEQ: 78887 | POS: 97 | [   WAITING  ] | [attack  |shield  |goldSack]
    T-24 | SEQ: 78888 | POS: 98 | [   WAITING  ] | [coin    |coin    |steal   ]
    T-23 | SEQ: 78889 | POS: 99 | [   WAITING  ] | [coin    |spins   |spins   ]
    T-22 | SEQ: 78890 | POS:100 | [   WAITING  ] | [accumula|accumula|coin    ]
    T-21 | SEQ: 78891 | POS:101 | [   WAITING  ] | [steal   |spins   |goldSack]
    T-20 | SEQ: 78892 | POS:102 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-19 | SEQ: 78893 | POS:103 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-18 | SEQ: 78894 | POS:104 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-17 | SEQ: 78895 | POS:105 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-16 | SEQ: 78896 | POS:106 | [   WAITING  ] | [coin    |coin    |steal   ]
    T-15 | SEQ: 78897 | POS:107 | [   WAITING  ] | [steal   |steal   |steal   ]
    T-14 | SEQ: 78898 | POS:108 | [   WAITING  ] | [accumula|accumula|attack  ]
    T-13 | SEQ: 78899 | POS:109 | [   WAITING  ] | [attack  |attack  |coin    ]
    T-12 | SEQ: 78900 | POS:110 | [   WAITING  ] | [steal   |spins   |goldSack]
    T-11 | SEQ: 78901 | POS:111 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-10 | SEQ: 78902 | POS:112 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-09 | SEQ: 78903 | POS:113 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-08 | SEQ: 78904 | POS:114 | [   WAITING  ] | [attack  |shield  |goldSack]
    T-07 | SEQ: 78905 | POS:115 | [   WAITING  ] | [attack  |coin    |shield  ]
    T-06 | SEQ: 78906 | POS:116 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T-05 | SEQ: 78907 | POS:117 | [R01_COMBO   ] | [coin    |coin    |steal   ]
    T-04 | SEQ: 78908 | POS:118 | [   WAITING  ] | [shield  |shield  |shield  ]
    T-03 | SEQ: 78909 | POS:119 | [   WAITING  ] | [attack  |spins   |goldSack]
    T-02 | SEQ: 78910 | POS:120 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T-01 | SEQ: 78911 | POS:121 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 78912 | POS:122 | [R01_COMBO   ] | [accumula|goldSack|goldSack] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 78913 | POS:123 | [R01_COMBO   ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+02 | SEQ: 78914 | POS:124 | [R01_COMBO   ] | [attack  |coin    |steal   ]
    T+03 | SEQ: 78915 | POS:125 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T+04 | SEQ: 78916 | POS:126 | [R01_COMBO   ] | [coin    |coin    |coin    ]
    T+05 | SEQ: 78917 | POS:127 | [R01_COMBO   ] | [coin    |coin    |steal   ]
    T+06 | SEQ: 78918 | POS:128 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+07 | SEQ: 78919 | POS:129 | [R01_COMBO   ] | [attack  |shield  |goldSack]
    T+08 | SEQ: 78920 | POS:130 | [V5_STEAL_M  ] | [steal   |spins   |goldSack]
    T+09 | SEQ: 78921 | POS:131 | [V5_STEAL_M  ] | [steal   |spins   |goldSack] <--- *SUB-DUP*
    T+10 | SEQ: 78922 | POS:132 | [V5_STEAL_M  ] | [accumula|goldSack|goldSack]
    T+11 | SEQ: 78923 | POS:133 | [V5_STEAL_M  ] | [attack  |spins   |goldSack]
    T+12 | SEQ: 78924 | POS:134 | [V5_STEAL_M  ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+13 | SEQ: 78925 | POS:135 | [V5_STEAL_M  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+14 | SEQ: 78926 | POS:136 | [V5_STEAL_M  ] | [coin    |coin    |coin    ]
    T+15 | SEQ: 78927 | POS:137 | [V5_STEAL_M  ] | [attack  |spins   |goldSack]
    T+16 | SEQ: 78928 | POS:138 | [V5_STEAL_M  ] | [coin    |spins   |spins   ]
    T+17 | SEQ: 78929 | POS:139 | [V5_STEAL_M  ] | [attack  |spins   |goldSack]
    T+18 | SEQ: 78930 | POS:140 | [V5_STEAL_M  ] | [coin    |coin    |coin    ]
    T+19 | SEQ: 78931 | POS:141 | [V5_STEAL_M  ] | [steal   |spins   |goldSack]
    T+20 | SEQ: 78932 | POS:142 | [V5_STEAL_M  ] | [attack  |coin    |shield  ]
    T+21 | SEQ: 78933 | POS:143 | [V5_STEAL_M  ] | [goldSack|goldSack|goldSack]
    T+22 | SEQ: 78934 | POS:144 | [V5_STEAL_M  ] | [attack  |attack  |coin    ]
    T+23 | SEQ: 78935 | POS:145 | [V5_STEAL_M  ] | [attack  |spins   |goldSack]
    T+24 | SEQ: 78936 | POS:146 | [V5_STEAL_M  ] | [goldSack|goldSack|goldSack]
    T+25 | SEQ: 78937 | POS:147 | [V5_STEAL_M  ] | [accumula|goldSack|goldSack]
    T+26 | SEQ: 78938 | POS:148 | [V5_STEAL_M  ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+27 | SEQ: 78939 | POS:149 | [V5_STEAL_M  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+28 | SEQ: 78940 | POS:150 | [V5_STEAL_M  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK] <--- *SUB-DUP*
    T+29 | SEQ: 78941 | POS:151 | [V5_STEAL_M  ] | [attack  |shield  |goldSack]
    T+30 | SEQ: 78942 | POS:152 | [V5_STEAL_M  ] | [coin    |coin    |steal   ]
    T+31 | SEQ: 78943 | POS:153 | [V5_STEAL_M  ] | [coin    |steal   |steal   ]
    T+32 | SEQ: 78944 | POS:154 | [V5_STEAL_M  ] | [shield  |goldSack|goldSack]
    T+33 | SEQ: 78945 | POS:155 | [V5_STEAL_M  ] | [accumula|accumula|coin    ]
    T+34 | SEQ: 78946 | POS:156 | [V5_STEAL_M  ] | [accumula|goldSack|goldSack]
    T+35 | SEQ: 78947 | POS:157 | [V5_STEAL_M  ] | [attack  |spins   |goldSack]
    T+36 | SEQ: 78948 | POS:158 | [V5_STEAL_M  ] | [attack  |spins   |goldSack] <--- *SUB-DUP*
    T+37 | SEQ: 78949 | POS:159 | [V5_STEAL_M  ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+38 | SEQ: 78950 | POS:160 | [V5_STEAL_M  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #108 | CurLen: 108 | Prev1: 160 | Prev2:  69 | Bets: 37 | Result: LATE HIT
    T-09 | SEQ: 79007 | POS: 57 | [   WAITING  ] | [attack  |coin    |coin    ]
    T-08 | SEQ: 79008 | POS: 58 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-07 | SEQ: 79009 | POS: 59 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-06 | SEQ: 79010 | POS: 60 | [V5_EARLY_S  ] | [attack  |steal   |goldSack]
    T-05 | SEQ: 79011 | POS: 61 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T-04 | SEQ: 79012 | POS: 62 | [V5_EARLY_S  ] | [attack  |attack  |attack  ]
    T-03 | SEQ: 79013 | POS: 63 | [V5_EARLY_S  ] | [coin    |steal   |steal   ]
    T-02 | SEQ: 79014 | POS: 64 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T-01 | SEQ: 79015 | POS: 65 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T+00 | SEQ: 79016 | POS: 66 | [V5_EARLY_S  ] | [accumula|accumula|coin    ] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 79017 | POS: 67 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T+02 | SEQ: 79018 | POS: 68 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+03 | SEQ: 79019 | POS: 69 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+04 | SEQ: 79020 | POS: 70 | [V5_EARLY_S  ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+05 | SEQ: 79021 | POS: 71 | [V5_EARLY_S  ] | [steal   |spins   |goldSack]
    T+06 | SEQ: 79022 | POS: 72 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+07 | SEQ: 79023 | POS: 73 | [V5_EARLY_S  ] | [attack  |coin    |coin    ]
    T+08 | SEQ: 79024 | POS: 74 | [V5_EARLY_S  ] | [shield  |goldSack|goldSack]
    T+09 | SEQ: 79025 | POS: 75 | [V5_EARLY_S  ] | [attack  |coin    |coin    ]
    T+10 | SEQ: 79026 | POS: 76 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+11 | SEQ: 79027 | POS: 77 | [V5_EARLY_S  ] | [attack  |coin    |coin    ]
    T+12 | SEQ: 79028 | POS: 78 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T+13 | SEQ: 79029 | POS: 79 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+14 | SEQ: 79030 | POS: 80 | [V5_EARLY_S  ] | [steal   |spins   |goldSack]
    T+15 | SEQ: 79031 | POS: 81 | [V5_EARLY_S  ] | [steal   |spins   |goldSack] <--- *SUB-DUP*
    T+16 | SEQ: 79032 | POS: 82 | [V5_EARLY_S  ] | [steal   |spins   |goldSack] <--- *SUB-DUP*
    T+17 | SEQ: 79033 | POS: 83 | [V5_EARLY_S  ] | [coin    |spins   |spins   ]
    T+18 | SEQ: 79034 | POS: 84 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+19 | SEQ: 79035 | POS: 85 | [V5_EARLY_S  ] | [steal   |spins   |goldSack]
    T+20 | SEQ: 79036 | POS: 86 | [V5_EARLY_S  ] | [attack  |coin    |coin    ]
    T+21 | SEQ: 79037 | POS: 87 | [V5_EARLY_S  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+22 | SEQ: 79038 | POS: 88 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T+23 | SEQ: 79039 | POS: 89 | [V5_EARLY_S  ] | [attack  |spins   |goldSack]
    T+24 | SEQ: 79040 | POS: 90 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T+25 | SEQ: 79041 | POS: 91 | [V5_EARLY_S  ] | [attack  |coin    |shield  ]
    T+26 | SEQ: 79042 | POS: 92 | [V5_EARLY_S  ] | [coin    |spins   |spins   ]
    T+27 | SEQ: 79043 | POS: 93 | [V5_EARLY_S  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
