=== MASTER TRACE: NICK ===
Targets: ACCUMULATION and SPINS

####################################################################################################
 TARGET: ACCUMULATION
####################################################################################################

Gap #000 | CurLen:  51 | Prev1:   0 | Prev2:   0 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 60977 | POS: 70 | [   WAITING  ] | [attack  |coin    |steal   ]
    T+88 | SEQ: 62869 | POS:213 | [DEEP_PITY   ] | [attack  |steal   |goldSack]
    T+89 | SEQ: 62870 | POS:214 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+90 | SEQ: 62871 | POS:215 | [DEEP_PITY   ] | [attack  |steal   |goldSack]
    T+91 | SEQ: 62872 | POS:216 | [DEEP_PITY   ] | [attack  |coin    |shield  ]
    T+92 | SEQ: 62873 | POS:217 | [DEEP_PITY   ] | [coin    |coin    |spins   ]
    T+93 | SEQ: 62874 | POS:218 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+94 | SEQ: 62875 | POS:219 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+95 | SEQ: 62876 | POS:220 | [DEEP_PITY   ] | [attack  |attack  |goldSack]
    T+96 | SEQ: 62877 | POS:221 | [V5_QUIET    ] | [goldSack|goldSack|goldSack]
    T+97 | SEQ: 62878 | POS:222 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+98 | SEQ: 62879 | POS:223 | [DEEP_PITY   ] | [accumula|accumula|coin    ]
    T+99 | SEQ: 62880 | POS:224 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+100 | SEQ: 62881 | POS:225 | [DEEP_PITY   ] | [coin    |coin    |steal   ] <--- *SUB-DUP*
    T+101 | SEQ: 62882 | POS:226 | [DEEP_PITY   ] | [attack  |coin    |steal   ]
    T+102 | SEQ: 62883 | POS:227 | [DEEP_PITY   ] | [attack  |coin    |shield  ]
    T+103 | SEQ: 62884 | POS:228 | [DEEP_PITY   ] | [spins   |spins   |spins   ] <--- MINOR [SPINS]
    T+104 | SEQ: 62885 | POS:229 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+105 | SEQ: 62886 | POS:230 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+106 | SEQ: 62887 | POS:231 | [DEEP_PITY   ] | [attack  |spins   |goldSack] <--- *SUB-DUP*
    T+107 | SEQ: 62888 | POS:232 | [DEEP_PITY   ] | [accumula|accumula|coin    ]
    T+108 | SEQ: 62889 | POS:233 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+109 | SEQ: 62890 | POS:234 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+110 | SEQ: 62891 | POS:235 | [DEEP_PITY   ] | [attack  |attack  |goldSack]
    T+111 | SEQ: 62892 | POS:236 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+112 | SEQ: 62893 | POS:237 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+113 | SEQ: 62894 | POS:238 | [DEEP_PITY   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+114 | SEQ: 62895 | POS:239 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+115 | SEQ: 62896 | POS:240 | [DEEP_PITY   ] | [coin    |steal   |spins   ]
    T+116 | SEQ: 62897 | POS:241 | [DEEP_PITY   ] | [attack  |attack  |goldSack]
    T+117 | SEQ: 62898 | POS:242 | [DEEP_PITY   ] | [coin    |steal   |steal   ]
    T+118 | SEQ: 62899 | POS:243 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+119 | SEQ: 62900 | POS:244 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+120 | SEQ: 62901 | POS:245 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T+121 | SEQ: 62902 | POS:246 | [DEEP_PITY   ] | [coin    |spins   |spins   ]
    T+122 | SEQ: 62903 | POS:247 | [DEEP_PITY   ] | [shield  |goldSack|goldSack]
    T+123 | SEQ: 62904 | POS:248 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+124 | SEQ: 62905 | POS:249 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T+125 | SEQ: 62906 | POS:250 | [DEEP_PITY   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+126 | SEQ: 62907 | POS:251 | [DEEP_PITY   ] | [steal   |spins   |goldSack]
    T+127 | SEQ: 62908 | POS:252 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+128 | SEQ: 62909 | POS:253 | [DEEP_PITY   ] | [coin    |steal   |steal   ]
    T+129 | SEQ: 62910 | POS:254 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+130 | SEQ: 62911 | POS:255 | [DEEP_PITY   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+131 | SEQ: 62912 | POS:256 | [DEEP_PITY   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+132 | SEQ: 62913 | POS:257 | [DEEP_PITY   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+133 | SEQ: 62914 | POS:258 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+134 | SEQ: 62915 | POS:259 | [DEEP_PITY   ] | [attack  |coin    |shield  ]
    T+135 | SEQ: 62916 | POS:260 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T+136 | SEQ: 62917 | POS:261 | [DEEP_PITY   ] | [accumula|accumula|coin    ]
    T+137 | SEQ: 62918 | POS:262 | [DEEP_PITY   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+138 | SEQ: 62919 | POS:263 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+139 | SEQ: 62920 | POS:264 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+140 | SEQ: 62921 | POS:265 | [DEEP_PITY   ] | [coin    |shield  |shield  ]
    T+141 | SEQ: 62922 | POS:266 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+142 | SEQ: 62923 | POS:267 | [DEEP_PITY   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+143 | SEQ: 62924 | POS:268 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T+144 | SEQ: 62925 | POS:269 | [DEEP_PITY   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+145 | SEQ: 62926 | POS:270 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+146 | SEQ: 62927 | POS:271 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+147 | SEQ: 62928 | POS:272 | [DEEP_PITY   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+148 | SEQ: 62929 | POS:273 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+149 | SEQ: 62930 | POS:274 | [DEEP_PITY   ] | [coin    |spins   |spins   ]
    T+150 | SEQ: 62931 | POS:275 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+151 | SEQ: 62932 | POS:276 | [DEEP_PITY   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+152 | SEQ: 62933 | POS:277 | [DEEP_PITY   ] | [steal   |spins   |goldSack]
    T+153 | SEQ: 62934 | POS:278 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+154 | SEQ: 62935 | POS:279 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+155 | SEQ: 62936 | POS:280 | [DEEP_PITY   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+156 | SEQ: 62937 | POS:281 | [DEEP_PITY   ] | [attack  |coin    |shield  ]
    T+157 | SEQ: 62938 | POS:282 | [DEEP_PITY   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+158 | SEQ: 62939 | POS:283 | [DEEP_PITY   ] | [coin    |steal   |steal   ]
    T+159 | SEQ: 62940 | POS:284 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+160 | SEQ: 62941 | POS:285 | [DEEP_PITY   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+161 | SEQ: 62942 | POS:286 | [DEEP_PITY   ] | [attack  |attack  |goldSack]
    T+162 | SEQ: 62943 | POS:287 | [DEEP_PITY   ] | [spins   |spins   |spins   ] <--- MINOR [SPINS]
    T+163 | SEQ: 62944 | POS:288 | [DEEP_PITY   ] | [attack  |attack  |goldSack]
    T+164 | SEQ: 62945 | POS:289 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+165 | SEQ: 62946 | POS:290 | [DEEP_PITY   ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+166 | SEQ: 62947 | POS:291 | [DEEP_PITY   ] | [accumula|accumula|attack  ]
    T+167 | SEQ: 62948 | POS:292 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+168 | SEQ: 62949 | POS:293 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T+169 | SEQ: 62950 | POS:294 | [DEEP_PITY   ] | [accumula|accumula|coin    ]
    T+170 | SEQ: 62951 | POS:295 | [V5_STEAL_M  ] | [accumula|accumula|coin    ] <--- *SUB-DUP*
    T+171 | SEQ: 62952 | POS:296 | [V5_STEAL_M  ] | [coin    |spins   |spins   ]
    T+172 | SEQ: 62953 | POS:297 | [V5_STEAL_M  ] | [attack  |spins   |goldSack]
    T+173 | SEQ: 62954 | POS:298 | [V5_STEAL_M  ] | [attack  |spins   |goldSack] <--- *SUB-DUP*
    T+174 | SEQ: 62955 | POS:299 | [V5_STEAL_M  ] | [attack  |attack  |coin    ]
    T+175 | SEQ: 62956 | POS:300 | [V5_STEAL_M  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+176 | SEQ: 62957 | POS:301 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+177 | SEQ: 62958 | POS:302 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+178 | SEQ: 62959 | POS:303 | [DEEP_PITY   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+179 | SEQ: 62960 | POS:304 | [DEEP_PITY   ] | [attack  |steal   |goldSack]
    T+180 | SEQ: 62961 | POS:305 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+181 | SEQ: 62962 | POS:306 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+182 | SEQ: 62963 | POS:307 | [DEEP_PITY   ] | [attack  |attack  |goldSack]
    T+183 | SEQ: 62964 | POS:308 | [DEEP_PITY   ] | [coin    |steal   |steal   ]
    T+184 | SEQ: 62965 | POS:309 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+185 | SEQ: 62966 | POS:310 | [DEEP_PITY   ] | [coin    |shield  |shield  ]
    T+186 | SEQ: 62967 | POS:311 | [DEEP_PITY   ] | [accumula|accumula|coin    ]
    T+187 | SEQ: 62968 | POS:312 | [DEEP_PITY   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+188 | SEQ: 62969 | POS:313 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+189 | SEQ: 62970 | POS:314 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+190 | SEQ: 62971 | POS:315 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T+191 | SEQ: 62972 | POS:316 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+192 | SEQ: 62973 | POS:317 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+193 | SEQ: 62974 | POS:318 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+194 | SEQ: 62975 | POS:319 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+195 | SEQ: 62976 | POS:320 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+196 | SEQ: 62977 | POS:321 | [DEEP_PITY   ] | [attack  |spins   |goldSack] <--- *SUB-DUP*
    T+197 | SEQ: 62978 | POS:322 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+198 | SEQ: 62979 | POS:323 | [DEEP_PITY   ] | [coin    |steal   |shield  ]
    T+199 | SEQ: 62980 | POS:324 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+200 | SEQ: 62981 | POS:325 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+201 | SEQ: 62982 | POS:326 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T+202 | SEQ: 62983 | POS:327 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+203 | SEQ: 62984 | POS:328 | [V5_STEAL_M  ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+204 | SEQ: 62985 | POS:329 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+205 | SEQ: 62986 | POS:330 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T+206 | SEQ: 62987 | POS:331 | [V5_QUIET    ] | [goldSack|goldSack|goldSack] <--- *SUB-DUP*
    T+207 | SEQ: 62988 | POS:332 | [V5_QUIET    ] | [accumula|goldSack|goldSack]
    T+208 | SEQ: 62989 | POS:333 | [V5_QUIET    ] | [coin    |steal   |spins   ]
    T+209 | SEQ: 62990 | POS:334 | [V5_QUIET    ] | [coin    |steal   |shield  ]
    T+210 | SEQ: 62991 | POS:335 | [V5_QUIET    ] | [accumula|goldSack|goldSack]
    T+211 | SEQ: 62992 | POS:336 | [DEEP_PITY   ] | [coin    |steal   |steal   ]
    T+212 | SEQ: 62993 | POS:337 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+213 | SEQ: 62994 | POS:338 | [V5_QUIET    ] | [coin    |coin    |coin    ] <--- *SUB-DUP*
    T+214 | SEQ: 62995 | POS:339 | [V5_QUIET    ] | [attack  |steal   |goldSack]
    T+215 | SEQ: 62996 | POS:340 | [V5_STEAL_M  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #016 | CurLen:  90 | Prev1: 340 | Prev2:  40 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 63072 | POS: 76 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-04 | SEQ: 63073 | POS: 77 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-03 | SEQ: 63074 | POS: 78 | [   WAITING  ] | [coin    |coin    |steal   ]
    T-02 | SEQ: 63075 | POS: 79 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-01 | SEQ: 63076 | POS: 80 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+00 | SEQ: 63077 | POS: 81 | [   WAITING  ] | [coin    |coin    |steal   ] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 63078 | POS: 82 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+02 | SEQ: 63079 | POS: 83 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+03 | SEQ: 63080 | POS: 84 | [   WAITING  ] | [coin    |shield  |shield  ]
    T+04 | SEQ: 63081 | POS: 85 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+05 | SEQ: 63082 | POS: 86 | [   WAITING  ] | [coin    |spins   |spins   ]
    T+06 | SEQ: 63083 | POS: 87 | [   WAITING  ] | [steal   |steal   |steal   ]
    T+07 | SEQ: 63084 | POS: 88 | [   WAITING  ] | [steal   |spins   |goldSack]
    T+08 | SEQ: 63085 | POS: 89 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+09 | SEQ: 63086 | POS: 90 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #017 | CurLen: 159 | Prev1:  90 | Prev2: 340 | Result: LATE HIT
    T-18 | SEQ: 63193 | POS:107 | [   WAITING  ] | [coin    |steal   |spins   ]
    T-17 | SEQ: 63194 | POS:108 | [   WAITING  ] | [steal   |spins   |goldSack]
    T-16 | SEQ: 63195 | POS:109 | [   WAITING  ] | [attack  |coin    |shield  ]
    T-15 | SEQ: 63196 | POS:110 | [R01_COMBO   ] | [steal   |spins   |goldSack]
    T-14 | SEQ: 63197 | POS:111 | [R01_COMBO   ] | [coin    |spins   |spins   ]
    T-13 | SEQ: 63198 | POS:112 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T-12 | SEQ: 63199 | POS:113 | [R01_COMBO   ] | [attack  |steal   |goldSack]
    T-11 | SEQ: 63200 | POS:114 | [R01_COMBO   ] | [attack  |attack  |goldSack]
    T-10 | SEQ: 63201 | POS:115 | [R01_COMBO   ] | [coin    |steal   |steal   ]
    T-09 | SEQ: 63202 | POS:116 | [R01_COMBO   ] | [coin    |coin    |coin    ]
    T-08 | SEQ: 63203 | POS:117 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-07 | SEQ: 63204 | POS:118 | [R01_COMBO   ] | [coin    |spins   |spins   ]
    T-06 | SEQ: 63205 | POS:119 | [R01_COMBO   ] | [attack  |attack  |attack  ]
    T-05 | SEQ: 63206 | POS:120 | [R01_COMBO   ] | [attack  |attack  |goldSack]
    T-04 | SEQ: 63207 | POS:121 | [R01_COMBO   ] | [attack  |spins   |goldSack]
    T-03 | SEQ: 63208 | POS:122 | [R01_COMBO   ] | [attack  |attack  |attack  ]
    T-02 | SEQ: 63209 | POS:123 | [R01_COMBO   ] | [attack  |steal   |goldSack]
    T-01 | SEQ: 63210 | POS:124 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T+00 | SEQ: 63211 | POS:125 | [R01_COMBO   ] | [goldSack|goldSack|goldSack] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 63212 | POS:126 | [R01_COMBO   ] | [steal   |spins   |goldSack]
    T+02 | SEQ: 63213 | POS:127 | [R01_COMBO   ] | [coin    |steal   |steal   ]
    T+03 | SEQ: 63214 | POS:128 | [R01_COMBO   ] | [attack  |coin    |coin    ]
    T+04 | SEQ: 63215 | POS:129 | [R01_COMBO   ] | [attack  |coin    |coin    ] <--- *SUB-DUP*
    T+05 | SEQ: 63216 | POS:130 | [R01_COMBO   ] | [steal   |spins   |goldSack]
    T+06 | SEQ: 63217 | POS:131 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+07 | SEQ: 63218 | POS:132 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T+08 | SEQ: 63219 | POS:133 | [V5_QUIET    ] | [coin    |coin    |coin    ]
    T+09 | SEQ: 63220 | POS:134 | [V5_QUIET    ] | [coin    |coin    |coin    ] <--- *SUB-DUP*
    T+10 | SEQ: 63221 | POS:135 | [V5_QUIET    ] | [accumula|goldSack|goldSack]
    T+11 | SEQ: 63222 | POS:136 | [V5_QUIET    ] | [accumula|accumula|coin    ]
    T+12 | SEQ: 63223 | POS:137 | [V5_QUIET    ] | [coin    |steal   |spins   ]
    T+13 | SEQ: 63224 | POS:138 | [V5_QUIET    ] | [accumula|goldSack|goldSack]
    T+14 | SEQ: 63225 | POS:139 | [V5_QUIET    ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+15 | SEQ: 63226 | POS:140 | [V5_QUIET    ] | [accumula|accumula|coin    ]
    T+16 | SEQ: 63227 | POS:141 | [R01_COMBO   ] | [steal   |spins   |goldSack]
    T+17 | SEQ: 63228 | POS:142 | [R01_COMBO   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+18 | SEQ: 63229 | POS:143 | [R01_COMBO   ] | [attack  |steal   |goldSack]
    T+19 | SEQ: 63230 | POS:144 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+20 | SEQ: 63231 | POS:145 | [R01_COMBO   ] | [coin    |steal   |spins   ]
    T+21 | SEQ: 63232 | POS:146 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T+22 | SEQ: 63233 | POS:147 | [R01_COMBO   ] | [attack  |coin    |shield  ]
    T+23 | SEQ: 63234 | POS:148 | [R01_COMBO   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+24 | SEQ: 63235 | POS:149 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T+25 | SEQ: 63236 | POS:150 | [V5_SHIELD_L ] | [attack  |coin    |coin    ]
    T+26 | SEQ: 63237 | POS:151 | [V5_SHIELD_L ] | [attack  |attack  |goldSack]
    T+27 | SEQ: 63238 | POS:152 | [V5_SHIELD_L ] | [accumula|goldSack|goldSack]
    T+28 | SEQ: 63239 | POS:153 | [V5_SHIELD_L ] | [goldSack|goldSack|goldSack]
    T+29 | SEQ: 63240 | POS:154 | [V5_SHIELD_L ] | [accumula|accumula|attack  ]
    T+30 | SEQ: 63241 | POS:155 | [V5_SHIELD_L ] | [accumula|goldSack|goldSack]
    T+31 | SEQ: 63242 | POS:156 | [V5_SHIELD_L ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+32 | SEQ: 63243 | POS:157 | [V5_SHIELD_L ] | [goldSack|goldSack|goldSack]
    T+33 | SEQ: 63244 | POS:158 | [V5_SHIELD_L ] | [attack  |coin    |coin    ]
    T+34 | SEQ: 63245 | POS:159 | [V5_SHIELD_L ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #019 | CurLen: 133 | Prev1:  13 | Prev2:   0 | Result: CLEAN CATCH
    T-16 | SEQ: 63365 | POS:107 | [   WAITING  ] | [coin    |coin    |spins   ]
    T-15 | SEQ: 63366 | POS:108 | [   WAITING  ] | [coin    |steal   |steal   ]
    T-14 | SEQ: 63367 | POS:109 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-13 | SEQ: 63368 | POS:110 | [R01_COMBO   ] | [steal   |steal   |steal   ]
    T-12 | SEQ: 63369 | POS:111 | [R01_COMBO   ] | [attack  |attack  |coin    ]
    T-11 | SEQ: 63370 | POS:112 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T-10 | SEQ: 63371 | POS:113 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-09 | SEQ: 63372 | POS:114 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T-08 | SEQ: 63373 | POS:115 | [R01_COMBO   ] | [coin    |coin    |coin    ]
    T-07 | SEQ: 63374 | POS:116 | [R01_COMBO   ] | [attack  |steal   |goldSack]
    T-06 | SEQ: 63375 | POS:117 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T-05 | SEQ: 63376 | POS:118 | [R01_COMBO   ] | [attack  |attack  |goldSack]
    T-04 | SEQ: 63377 | POS:119 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T-03 | SEQ: 63378 | POS:120 | [R01_COMBO   ] | [attack  |steal   |goldSack]
    T-02 | SEQ: 63379 | POS:121 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T-01 | SEQ: 63380 | POS:122 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 63381 | POS:123 | [R01_COMBO   ] | [accumula|goldSack|goldSack] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 63382 | POS:124 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T+02 | SEQ: 63383 | POS:125 | [R01_COMBO   ] | [accumula|accumula|coin    ] <--- *SUB-DUP*
    T+03 | SEQ: 63384 | POS:126 | [R01_COMBO   ] | [coin    |coin    |spins   ]
    T+04 | SEQ: 63385 | POS:127 | [R01_COMBO   ] | [coin    |coin    |spins   ] <--- *SUB-DUP*
    T+05 | SEQ: 63386 | POS:128 | [R01_COMBO   ] | [attack  |steal   |goldSack]
    T+06 | SEQ: 63387 | POS:129 | [R01_COMBO   ] | [coin    |coin    |spins   ]
    T+07 | SEQ: 63388 | POS:130 | [V5_STEAL_M  ] | [attack  |steal   |goldSack]
    T+08 | SEQ: 63389 | POS:131 | [V5_STEAL_M  ] | [accumula|goldSack|goldSack]
    T+09 | SEQ: 63390 | POS:132 | [V5_STEAL_M  ] | [accumula|accumula|attack  ]
    T+10 | SEQ: 63391 | POS:133 | [V5_STEAL_M  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #023 | CurLen: 149 | Prev1: 122 | Prev2:  76 | Result: LATE HIT
    T-03 | SEQ: 63809 | POS:117 | [   WAITING  ] | [coin    |coin    |steal   ]
    T-02 | SEQ: 63810 | POS:118 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-01 | SEQ: 63811 | POS:119 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 63812 | POS:120 | [R01_COMBO   ] | [accumula|goldSack|goldSack] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 63813 | POS:121 | [R01_COMBO   ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+02 | SEQ: 63814 | POS:122 | [R01_COMBO   ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+03 | SEQ: 63815 | POS:123 | [R01_COMBO   ] | [coin    |steal   |steal   ]
    T+04 | SEQ: 63816 | POS:124 | [R01_COMBO   ] | [attack  |spins   |goldSack]
    T+05 | SEQ: 63817 | POS:125 | [R01_COMBO   ] | [attack  |shield  |goldSack]
    T+06 | SEQ: 63818 | POS:126 | [R01_COMBO   ] | [attack  |spins   |goldSack]
    T+07 | SEQ: 63819 | POS:127 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+08 | SEQ: 63820 | POS:128 | [R01_COMBO   ] | [steal   |spins   |goldSack]
    T+09 | SEQ: 63821 | POS:129 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T+10 | SEQ: 63822 | POS:130 | [R01_COMBO   ] | [coin    |coin    |steal   ]
    T+11 | SEQ: 63823 | POS:131 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T+12 | SEQ: 63824 | POS:132 | [R01_COMBO   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+13 | SEQ: 63825 | POS:133 | [R01_COMBO   ] | [steal   |spins   |goldSack]
    T+14 | SEQ: 63826 | POS:134 | [R01_COMBO   ] | [steal   |spins   |goldSack] <--- *SUB-DUP*
    T+15 | SEQ: 63827 | POS:135 | [R01_COMBO   ] | [steal   |spins   |goldSack] <--- *SUB-DUP*
    T+16 | SEQ: 63828 | POS:136 | [R01_COMBO   ] | [coin    |coin    |coin    ]
    T+17 | SEQ: 63829 | POS:137 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+18 | SEQ: 63830 | POS:138 | [R01_COMBO   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+19 | SEQ: 63831 | POS:139 | [R01_COMBO   ] | [attack  |spins   |goldSack]
    T+20 | SEQ: 63832 | POS:140 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+21 | SEQ: 63833 | POS:141 | [R01_COMBO   ] | [coin    |steal   |steal   ]
    T+22 | SEQ: 63834 | POS:142 | [R01_COMBO   ] | [attack  |spins   |goldSack]
    T+23 | SEQ: 63835 | POS:143 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+24 | SEQ: 63836 | POS:144 | [R01_COMBO   ] | [attack  |coin    |steal   ]
    T+25 | SEQ: 63837 | POS:145 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T+26 | SEQ: 63838 | POS:146 | [R01_COMBO   ] | [attack  |spins   |goldSack]
    T+27 | SEQ: 63839 | POS:147 | [R01_COMBO   ] | [coin    |shield  |shield  ]
    T+28 | SEQ: 63840 | POS:148 | [R01_COMBO   ] | [attack  |attack  |coin    ]
    T+29 | SEQ: 63841 | POS:149 | [R01_COMBO   ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #027 | CurLen: 181 | Prev1:  18 | Prev2:  74 | Result: MISSED (NAT DUP)
